date,time,shooter,team,keeper,opposition,result,home_team,away_team,home_score,away_score,goal,on_target,save
10/23/2016,26:37:00,Benny Feilhaber,Kansas City,David Bingham,San Jose,Goal,Kansas City,San Jose,0,0,1,1,0
10/23/2016,44:41:00,Sebastian Giovinco,Toronto,Patrick McLain,Chicago,Goal,Toronto,Chicago,0,1,1,1,0
10/23/2016,71:20:00,Diego Valeri,Portland,David Ousted,Vancouver,Goal,Vancouver,Portland,4,0,1,1,0
03/04/2017,81:20,Diego Valeri,Portland,John Alvbage,Minnesota United,Goal,Portland,Minnesota United,2,1,1,1,0
03/04/2017,52:55,Giovani dos Santos,L.A. Galaxy,Chris Seitz,FC Dallas,Goal,L.A. Galaxy,FC Dallas,0,1,1,1,0
03/04/2017,30:13,Sebastian Giovinco,Toronto,Nick Rimando,Salt Lake,Saved,Salt Lake,Toronto,0,0,0,1,1
03/05/2017,16:43,Marcelo Sarvas,DC United,Tim Melia,Kansas City,Saved,DC United,Kansas City,0,0,0,1,1
03/11/2017,32:38,Alejandro Bedoya,Philadelphia,Clint Irwin,Toronto,Post,Philadelphia,Toronto,1,0,0,0,0
03/11/2017,46:45,Jozy Altidore,Toronto,Andre Blake,Philadelphia,Goal,Philadelphia,Toronto,1,0,1,1,0
03/12/2017,82:46,Nicolas Lodeiro,Seattle,Evan Bush,Montreal,Goal,Montreal,Seattle,2,0,1,1,0
03/12/2017,29:57,Kevin Molino,Minnesota United,Alec Kann,Atlanta United,Goal,Minnesota United,Atlanta United,0,3,1,1,0
03/18/2017,37:27,Federico Higuain,Columbus,Bill Hamid,DC United,Goal,DC United,Columbus,0,0,1,1,0
03/18/2017,65:58,Ola Kamara,Columbus,Bill Hamid,DC United,Goal,DC United,Columbus,0,1,1,1,0
03/19/2017,9:18,Lee Nguyen,New England,Chris Seitz,FC Dallas,Goal,FC Dallas,New England,0,0,1,1,0
03/19/2017,27:43,Clint Dempsey,Seattle,Luis Robles,New York,Goal,Seattle,New York,0,0,1,1,0
03/19/2017,49:02,Kevin Molino,Minnesota United,Tim Howard,Colorado,Goal,Colorado,Minnesota United,1,0,1,1,0
03/19/2017,10:36,Diego Valeri,Portland,Tyler Deric,Houston,Goal,Portland,Houston,0,0,1,1,0
03/19/2017,37:22,Erick Torres,Houston,Jake Gleeson,Portland,Goal,Portland,Houston,1,0,1,1,0
03/25/2017,31:18,Lee Nguyen,New England,Bobby Shuttleworth,Minnesota United,Goal,New England,Minnesota United,2,1,1,1,0
03/25/2017,52:08,Chris Tierney,New England,Bobby Shuttleworth,Minnesota United,Goal,New England,Minnesota United,4,2,1,1,0
04/02/2017,26:16,Luciano Acosta,DC United,Andre Blake,Philadelphia,Goal,DC United,Philadelphia,1,0,1,1,0
